step,tag,value
0,x/lr1,0.000699999975040555
1,x/lr1,0.0014851499581709504
2,x/lr1,0.0022544600069522858
3,x/lr1,0.0030079300049692392
4,x/lr1,0.0037455600686371326
5,x/lr1,0.004467349965125322
6,x/lr1,0.005173299927264452
7,x/lr1,0.0058634099550545216
8,x/lr1,0.006537680048495531
9,x/lr1,0.0071961102075874805
10,x/lr1,0.007838699966669083
11,x/lr1,0.008465450257062912
12,x/lr1,0.008812000043690205
13,x/lr1,0.008812000043690205
14,x/lr1,0.00871300045400858
15,x/lr1,0.00861399993300438
16,x/lr1,0.008515000343322754
17,x/lr1,0.008415999822318554
18,x/lr1,0.008317000232636929
19,x/lr1,0.008217999711632729
20,x/lr1,0.008119000121951103
21,x/lr1,0.008019999600946903
22,x/lr1,0.007921000011265278
23,x/lr1,0.007822000421583652
24,x/lr1,0.0077229999005794525
25,x/lr1,0.00762399984523654
26,x/lr1,0.007524999789893627
27,x/lr1,0.007426000200212002
28,x/lr1,0.007327000144869089
29,x/lr1,0.0072280000895261765
30,x/lr1,0.007129000034183264
31,x/lr1,0.007029999978840351
32,x/lr1,0.006930999923497438
33,x/lr1,0.006831999868154526
34,x/lr1,0.006732999812811613
35,x/lr1,0.006634000223129988
